timestamp,value1,value2,value3,value4,value5,value6
0.0,5.0e-6,1.0e-15,0.0,0.0,0.0,0.0
0.1,4.999999999975309e-6,9.753098540810643e-16,2.4690145918935982e-17,0.0,0.0,0.0
0.2,4.999999999951228e-6,9.512292490651194e-16,4.87707509348808e-17,0.0,0.0,0.0
0.3,4.9999999999277426e-6,9.277433649723186e-16,7.225663502768171e-17,0.0,0.0,0.0
0.4,4.999999999904836e-6,9.048374171230176e-16,9.516258287698279e-17,0.0,0.0,0.0
0.5,4.999999999882494e-6,8.824952497632555e-16,1.175047502367448e-16,0.0,0.0,0.0
0.6,4.999999999860701e-6,8.607020110308182e-16,1.3929798896918205e-16,0.0,0.0,0.0
0.7,4.999999999839445e-6,8.394456797140596e-16,1.6055432028594063e-16,0.0,0.0,0.0
0.8,4.999999999818714e-6,8.187142445369569e-16,1.812857554630435e-16,0.0,0.0,0.0
0.9,4.999999999798495e-6,7.984956942234869e-16,2.0150430577651344e-16,0.0,0.0,0.0
1.0,4.9999999997787774e-6,7.78778017497627e-16,2.2122198250237332e-16,0.0,0.0,0.0
1.1,4.999999999759549e-6,7.595492030833542e-16,2.404507969166461e-16,0.0,0.0,0.0
1.2,4.999999999740797e-6,7.407972397046458e-16,2.5920276029535455e-16,0.0,0.0,0.0
1.3,4.99999999972251e-6,7.225101160854787e-16,2.774898839145217e-16,0.0,0.0,0.0
1.4,4.999999999704676e-6,7.046758209498301e-16,2.953241790501702e-16,0.0,0.0,0.0
1.5,4.999999999687283e-6,6.872823430216772e-16,3.127176569783232e-16,0.0,0.0,0.0
1.6,4.999999999670318e-6,6.703176710249969e-16,3.296823289750034e-16,0.0,0.0,0.0
1.7,4.99999999965377e-6,6.537697936837667e-16,3.4623020631623367e-16,0.0,0.0,0.0
1.8,4.999999999637628e-6,6.3762714613345585e-16,3.6237285386654447e-16,0.0,0.0,0.0
1.9,4.999999999621881e-6,6.218805067604346e-16,3.7811949323956564e-16,0.0,0.0,0.0
2.0,4.999999999606521e-6,6.065213458480298e-16,3.9347865415197056e-16,0.0,0.0,0.0
2.1,4.999999999591542e-6,5.915411299493283e-16,4.0845887005067213e-16,0.0,0.0,0.0
2.2,4.999999999576932e-6,5.769313256174172e-16,4.2306867438258315e-16,0.0,0.0,0.0
2.3,4.999999999562683e-6,5.6268339940538375e-16,4.3731660059461648e-16,0.0,0.0,0.0
2.4,4.9999999995487885e-6,5.48788817866315e-16,4.512111821336853e-16,0.0,0.0,0.0
2.5,4.999999999535239e-6,5.352390475532978e-16,4.647609524467025e-16,0.0,0.0,0.0
2.6,4.999999999522026e-6,5.220255550194194e-16,4.779744449805809e-16,0.0,0.0,0.0
2.7,4.99999999950914e-6,5.091398068177669e-16,4.908601931822334e-16,0.0,0.0,0.0
2.8,4.999999999496574e-6,4.965732695014274e-16,5.034267304985729e-16,0.0,0.0,0.0
2.9,4.9999999994843174e-6,4.843174096234878e-16,5.156825903765125e-16,0.0,0.0,0.0
3.0,4.999999999472364e-6,4.723636937370353e-16,5.276363062629649e-16,0.0,0.0,0.0
3.1,4.999999999460704e-6,4.60703588395157e-16,5.392964116048433e-16,0.0,0.0,0.0
3.2,4.999999999449329e-6,4.493285176146358e-16,5.506714823853644e-16,0.0,0.0,0.0
3.3,4.99999999943823e-6,4.3823086744104445e-16,5.617691325589558e-16,0.0,0.0,0.0
3.4,4.999999999427405e-6,4.2740484059608403e-16,5.725951594039162e-16,0.0,0.0,0.0
3.5,4.999999999416845e-6,4.1684477036524163e-16,5.831552296347586e-16,0.0,0.0,0.0
3.6,4.9999999994065446e-6,4.0654499003400433e-16,5.93455009965996e-16,0.0,0.0,0.0
3.7,4.9999999993965004e-6,3.9649983288785886e-16,6.035001671121415e-16,0.0,0.0,0.0
3.8,4.999999999386704e-6,3.867036322122923e-16,6.13296367787708e-16,0.0,0.0,0.0
3.9,4.999999999377152e-6,3.7715072129279136e-16,6.228492787072089e-16,0.0,0.0,0.0
4.0,4.999999999367835e-6,3.678354334148432e-16,6.321645665851571e-16,0.0,0.0,0.0
4.1,4.999999999358752e-6,3.5875210186393463e-16,6.412478981360656e-16,0.0,0.0,0.0
4.2,4.999999999349896e-6,3.498950599255525e-16,6.501049400744478e-16,0.0,0.0,0.0
4.3,4.999999999341259e-6,3.4125864088518397e-16,6.587413591148164e-16,0.0,0.0,0.0
4.4,4.9999999993328374e-6,3.3283717802831565e-16,6.671628219716846e-16,0.0,0.0,0.0
4.5,4.999999999324625e-6,3.246250046404347e-16,6.753749953595657e-16,0.0,0.0,0.0
4.6,4.999999999316617e-6,3.16616454007028e-16,6.833835459929724e-16,0.0,0.0,0.0
4.7,4.999999999308806e-6,3.0880585941358234e-16,6.91194140586418e-16,0.0,0.0,0.0
4.8,4.999999999301187e-6,3.0118755414558477e-16,6.988124458544155e-16,0.0,0.0,0.0
4.9,4.999999999293756e-6,2.937558714885222e-16,7.062441285114781e-16,0.0,0.0,0.0
5.0,4.999999999286506e-6,2.8650514472788157e-16,7.1349485527211875e-16,0.0,0.0,0.0
5.1,4.9999999992794295e-6,2.7943025787463393e-16,7.205697421253665e-16,0.0,0.0,0.0
5.2,4.999999999272529e-6,2.72527701688998e-16,7.274722983110024e-16,0.0,0.0,0.0
5.3,4.999999999265794e-6,2.657939934940147e-16,7.342060065059856e-16,0.0,0.0,0.0
5.4,4.999999999259226e-6,2.592256447395727e-16,7.407743552604277e-16,0.0,0.0,0.0
5.5,4.999999999252819e-6,2.52819166875561e-16,7.471808331244393e-16,0.0,0.0,0.0
5.6,4.9999999992465705e-6,2.465710713518687e-16,7.534289286481317e-16,0.0,0.0,0.0
5.7,4.999999999240479e-6,2.4047786961838455e-16,7.59522130381616e-16,0.0,0.0,0.0
5.8,4.999999999234536e-6,2.345360731249975e-16,7.654639268750029e-16,0.0,0.0,0.0
5.9,4.999999999228742e-6,2.2874219332159656e-16,7.712578066784038e-16,0.0,0.0,0.0
